조사년월,동태코드,물가지수,가중치
2015-04-01,307131AA,101,1
2015-04-01,30571AA,97,1
2015-04-01,305711AA,97,1
2015-04-01,302AA,96,1
2015-04-01,31112AA,96,1
2015-04-01,30114AA,100,1
2015-04-01,31116AA,96,1
2015-04-01,311131AA,96,1
2015-04-01,305112AA,105,1
2015-04-01,302142AA,96,1
2015-04-01,30212AA,97,1
2015-04-01,304123AA,106,1
2015-04-01,307125AA,100,1
2015-04-01,305114AA,100,1
2015-04-01,31212AA,0,1
2015-04-01,1AA,96,1
2015-04-01,30713AA,101,1
2015-04-01,31114AA,96,1
2015-04-01,310153AA,96,1
2015-04-01,302111AA,100,1
2015-04-01,301311AA,96,1
2015-04-01,311212AA,96,1
2015-04-01,307127AA,103,1
2015-04-01,30512AA,0,1
2015-04-01,308146AA,98,1
2015-04-01,306221AA,96,1
2015-04-01,307213AA,106,1
2015-04-01,307211AA,105,1
2015-04-01,31015AA,97,1
2015-04-01,310124AA,0,1
2015-04-01,30721AA,104,1
2015-04-01,310121AA,96,1
2015-04-01,305122AA,0,1
2015-04-01,31211AA,96,1
2015-04-01,305631AA,96,1
2015-04-01,31125AA,96,1
2015-04-01,304125AA,108,1
2015-04-01,31122AA,97,1
2015-04-01,312111AA,96,1
2015-04-01,3AA,99,1
2015-04-01,308113AA,0,1
2015-04-01,30562AA,98,1
2015-04-01,305722AA,95,1
2015-04-01,302213AA,0,1
2015-04-01,307222AA,101,1
2015-04-01,311111AA,96,1
2015-04-01,30811AA,95,1
2015-04-01,308112AA,95,1
2015-04-01,31012AA,97,1
2015-04-01,31013AA,98,1
2015-04-01,306AA,96,1
2015-04-01,309522AA,96,1
2015-04-01,310123AA,97,1
2015-04-01,311241AA,98,1
2015-04-01,30511AA,104,1
2015-04-01,305AA,101,1
2015-04-01,3056AA,99,1
2015-04-01,310151AA,97,1
2015-04-01,3062AA,96,1
2015-04-01,3054AA,0,1
2015-04-01,30413AA,107,1
2015-04-01,30521AA,103,1
2015-04-01,309622AA,0,1
2015-04-01,309611AA,97,1
2015-04-01,312132AA,96,1
2015-04-01,3013AA,96,1
2015-04-01,307113AA,96,1
2015-04-01,30541AA,0,1
2015-04-01,310111AA,97,1
2015-04-01,305212AA,95,1
2015-04-01,30581AA,98,1
2015-04-01,311151AA,97,1
2015-04-01,30561AA,99,1
2015-04-01,309212AA,0,1
2015-04-01,305411AA,0,1
