title,channel_name,views,subs,publish_time,channel_id,video_id
♬받아줄래 - 뷰티박스 #순천만국제정원박람회축하쇼 #BEAUTYBOX #뷰티박스순천 #KPOP걸그룹,여수MBC Music+(Kpop&Trot),1259,667000,2022-04-27T07:17:36Z,UCwIiyFphTd-eTeLBvh8riNw,sIGDHvyW38g
"[일상VLOG] 샤넬뷰티, 수블리마지, 르리프트, 오랫동안사용후기 꿀팁",뷔뷔안느 diary,176,39,2022-05-01T05:15:13Z,UCpz74bT3XqdcIqMsj4_9MUw,WbNH_6cFth8
"넷플릭스 새비지 뷰티 시즌1 예고편, NETFLIX Savage Beauty Season 1 Trailer",브랜드뉴무비,81,1340,2022-04-19T09:15:01Z,UCVLPSCYWbxRGHkukZCmqzkw,XdQnSoToXys
뷰티즌 7기 첫 월모임 !🎀 유튜버 20명 넘게 만났다..?ㅣ레페리 미팅 다녀오기ㅣ신라스테이GRWMㅣ요즘하는 데일리 메이크업ㅣ서울 1박2일 VLOGㅣ강남맛집,해지haeji,456,1330,2022-04-01T09:00:25Z,UCbJEGhqExmvO6XlaDqvJ1qQ,uNEvKJFboXg
크리스피뷰티 분갈이 영상~,찐다육사랑,17,9,2022-04-08T00:14:23Z,UCXgB584lkNlwDggfIbr4WQQ,liIZHCkXMSo
"제이준코스메틱, 엘앤에프, 우성, 한국금융지주, 선진뷰티사이언스, 아이티엠반도체, 바이브컴퍼니, 롯데지주, 스튜디오산타클로스_김현구의 주식 코치 1부 (20220430)",이데일리TV,21427,149000,2022-04-30T01:15:02Z,UC8Sv6O3Ux8ePVqorx8aOBMg,G0GjJtHPPSI
뷰티레시피 리틀머메이드 디스이즈 프린세스 클렌징워터 솔직 리뷰 &amp; 성분 분석ㅣ화장솜없이 클렌징워터ㅣ약산성클렌저ㅣ저자극ㅣ무자극ㅣ클렌징워터사용법ㅣ,악동메디컬_타토아,161,8180,2022-04-21T08:00:08Z,UCWkfOsqkROkVILnCwDcmdNw,MNGje4_WAKA
미국에서 작은 비지니스 첫 걸음 하기 좋은 뷰티 서플라이 소개합니다,이상무가 간다,807,6270,2022-04-21T00:00:02Z,UCKWNMtAZjG6x7tRhvP1ZnGw,3f0xasJtwSI
[뷰티앤부티 시즌7] 발만 올리고 있으면 저주파를 통해 속근육을 알아서 시켜주는 사용법이 아주 쉬운 마사지기,뷰티앤부티,406,,2022-05-02T07:37:26Z,UC4f3wmVRxNCH1-psmAq_EdA,rOuUNMjtbn8
[뷰티 경력 22년] 비싼 화장품 아무리 발라봐도 화장품 바르는 법 모르면 돈낭비!,백지수의 뷰티백과,7993,26400,2022-04-07T10:00:12Z,UCdehyf7mVGfdXaSxcIy0Vcg,KwJitwWCxsE
[뷰티앤부티 시즌7] 마스크도 패션이다! 그렇기에 추천한다!!! 내 얼굴에 딱 맞는 7색 마스크!!!,뷰티앤부티,465,,2022-05-09T07:25:38Z,UC4f3wmVRxNCH1-psmAq_EdA,3r8wW2ms8Js
[뷰티 경력 22년] 스킨케어 바르는 순서 아직도 헷갈린다고?! 딱 이거 하나만 기억하세요!,백지수의 뷰티백과,7926,26400,2022-04-05T10:00:19Z,UCdehyf7mVGfdXaSxcIy0Vcg,bFVhLWl3z2A
